AtomicNumber,Element,Symbol,AtomicMass,NumberofNeutrons,NumberofProtons,NumberofElectrons,Period,Group,Phase,Radioactive,Natural,Metal,AtomicNumber,Element,Symbol
-1.6130693409696495,-1.5489736668537117,-1.7120264258353668,-2.5447477752995837,-1.1653983773798666,-1.705058169955069,0.7076642679804079,1.5056861666681638,-1.2425704160235727,-1.3139132614661595,-1.5048337628127886,-0.036556537914888665,-2.403482137798187,-1.6072751268321597,2.0146522105345532,-0.29767027889379355
-1.5661115755400183,-1.4976693204838216,-1.6717434511098288,-2.5447477752995837,1.5051540171802662,-2.198889566282424,-2.177897790250047,4.664763852157023,-1.2425542726975796,-1.3287837715806379,-1.5148187100833028,-0.08447915072425272,-2.403482137798187,-1.6072751268321597,2.0146522105345532,-0.29767027889379355
-1.5200318184122428,-1.4463649741139317,-1.6314604763842906,-1.8387854892487314,-1.1653983773798666,0.4513389273410463,-0.8925110552201171,-0.8535460511406834,-1.1458354576041854,-0.8526651814250116,-0.5133521245042991,-0.09295279019696541,-1.7290494234828697,0.6221710168382555,-0.496363588102716,-0.29767027889379355
-1.4875611899632388,-1.4207128009289869,-1.5911775016587526,-1.8387854892487314,-1.0083070600528,-0.7009343307561148,-0.11865577596740418,0.27652350765963546,-0.9073998009647744,0.3079165003843291,0.18733502206291494,-0.10219436968396493,-1.7290494234828697,0.6221710168382555,-0.496363588102716,-0.29767027889379355
-1.459355173266108,-1.3950606277440418,-1.5508945269332146,-1.8387854892487314,0.7196974305449331,-1.030155261641018,0.4978052092000111,-0.018053515210546742,-0.8186205671096745,1.370620327260278,1.0938140457496923,-0.10639700031009619,-1.7290494234828697,-1.6072751268321597,-0.496363588102716,3.359421718944241
-1.4405407096549034,-1.3950606277440418,-1.5106115522076766,-1.8387854892487314,0.8767887478719998,-1.507525611424127,1.1667309590625252,0.8335376967035174,-0.8313033148032603,2.81308603501391,1.155986818293367,-0.10806437691645865,-1.7290494234828697,-1.6072751268321597,2.0146522105345532,-0.29767027889379355
-1.4092459851815997,-1.369408454559097,-1.4703285774821384,-1.8387854892487314,1.0338800651990663,-1.7709023561320498,1.8094243265774905,1.7746777937781764,-1.242360226657868,-1.2623883863852,-1.469345544244859,-0.10632336222653443,-1.7290494234828697,-1.6072751268321597,2.0146522105345532,-0.29767027889379355
-1.3780139755870002,-1.343756281374152,-1.4300456027566004,-1.8387854892487314,1.190971382526133,-1.9355128215745014,2.334071973528482,1.511349450898224,-1.2423276138780843,-1.2758059401322317,-1.4613625602502514,-0.10696506552614397,-1.7290494234828697,-1.6072751268321597,2.0146522105345532,-0.29767027889379355
-1.3309934952786644,-1.292451935004262,-1.3897626280310624,-1.8387854892487314,1.3480626998531997,-2.067201193928463,3.0423462969123207,2.6051107458276497,-1.2422786947084092,-1.2725223636483998,-1.4645768925907592,-0.10745949265862999,-1.7290494234828697,-1.6072751268321597,2.0146522105345532,-0.29767027889379355
-1.312461248621628,-1.292451935004262,-1.3494796533055244,-1.8387854892487314,1.5051540171802662,-2.1659674731939336,-2.177897790250047,3.795751573017495,-1.2424236403963358,-1.3028686949416284,-1.500612231557073,-0.10637596085764997,-1.7290494234828697,-1.6072751268321597,2.0146522105345532,-0.29767027889379355
